Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,File,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,,,Aspire.Hosting.AppHost 9.0.0,,,,,"Aspire.Hosting.AppHost, 9.0.0  Recommendation:  Remove Aspire.Hosting.AppHost, and replace with new package Aspire.Hosting.AppHost 13.1.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,File,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,,,Aspire.Hosting.PostgreSQL 9.0.0,,,,,"Aspire.Hosting.PostgreSQL, 9.0.0  Recommendation:  Remove Aspire.Hosting.PostgreSQL, and replace with new package Aspire.Hosting.PostgreSQL 13.1.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,File,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,,,Aspire.Hosting.Redis 9.0.0,,,,,"Aspire.Hosting.Redis, 9.0.0  Recommendation:  Remove Aspire.Hosting.Redis, and replace with new package Aspire.Hosting.Redis 13.1.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,File,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,,,Aspire.Hosting.AppHost 9.0.0,,,,,"Aspire.Hosting.AppHost, 9.0.0  Recommendation:  This version is out of support and is no longer maintained. Please upgrade to the latest version. See our support policy for details: https://aka.ms/dotent/aspire/support Remove Aspire.Hosting.AppHost, and replace with new package Aspire.Hosting.AppHost, 13.1.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,File,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,,,Aspire.Hosting.PostgreSQL 9.0.0,,,,,"Aspire.Hosting.PostgreSQL, 9.0.0  Recommendation:  This version is out of support and is no longer maintained. Please upgrade to the latest version. See our support policy for details: https://aka.ms/dotent/aspire/support Remove Aspire.Hosting.PostgreSQL, and replace with new package Aspire.Hosting.PostgreSQL, 13.1.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,File,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,,,Aspire.Hosting.Redis 9.0.0,,,,,"Aspire.Hosting.Redis, 9.0.0  Recommendation:  This version is out of support and is no longer maintained. Please upgrade to the latest version. See our support policy for details: https://aka.ms/dotent/aspire/support Remove Aspire.Hosting.Redis, and replace with new package Aspire.Hosting.Redis, 13.1.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,File,SocialNetworkMicroservices.AppHost\SocialNetworkMicroservices.AppHost.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SocialNetworkMicroservices.Identity\SocialNetworkMicroservices.Identity.csproj,File,SocialNetworkMicroservices.Identity\SocialNetworkMicroservices.Identity.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 9.0.2,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 9.0.2  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SocialNetworkMicroservices.Identity\SocialNetworkMicroservices.Identity.csproj,File,SocialNetworkMicroservices.Identity\SocialNetworkMicroservices.Identity.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.2,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.2  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SocialNetworkMicroservices.Identity\SocialNetworkMicroservices.Identity.csproj,File,SocialNetworkMicroservices.Identity\SocialNetworkMicroservices.Identity.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
